Line	BLUEs
Argosy	2654.718593
B21HR215	3458.804157
B21HR228	3146.524417
B21HR231	3034.206735
B21HR285	3239.563299
B21HR310	3434.293171
B21HR363	3116.94316
B21HR426	3573.06828
B21HR447	3626.729182
B21HR454	3500.388963
B21HR476	3292.733249
B21HR570	3366.159426
C21HR263	3133.643541
C21HR325	2809.564114
C21HR326	2885.723727
C21HR327	2805.421698
C21HR331	2868.868827
C21HR388	2686.059129
DYNASTY - I15622	2771.279622
K21HR0018L	2442.873086
K21HR0152D	2192.675224
K21HR0571L	2386.140777
K21HR0576W	2562.509231
K21HR0583W	2469.619401
K21HR0715L	2571.955495
K21HR0993D	2308.408431
Lighthouse	2754.847114
O21HR092	3038.921822
O21HR253	2923.438103
O21HR265	2916.154329
O21HR277	2776.169837
O21HR298	2813.33739
O21HR369	2514.896407
O21HR656	3089.094035
OAC Fire Stripe	2582.698186
OAC Navabi	2709.082674
P21HR193	3009.388586
P21HR212	2772.945611
P21HR213	2815.020262
P21HR222	2748.471092
P21HR227	2713.956616
P21HR230	2825.310707
P21HR233	2830.39323
Racer	2839.279063
Rosito	2982.517887
Shock	2254.777014
Snowshoe	2748.923723
Vortex	3531.301683
W21HR0275	3298.949786
W21HR0373	3391.217894
W21HR0379	3193.025141
W21HR0402	3295.130879
W21HR0412	3193.388111
W21HR0447	3114.256485
W21HR0523	3488.734974
W21HR0530	3419.930175
W21HR0550	3206.173907
W21HR0555	3269.467174
W21HR0572	3596.161574
W21HR0690	3165.216652
W21HR0695	3029.342564
W21HR0707	3044.469115
W21HR0712	3337.222532
W21HR0714	3065.167386
W21HR0748	3157.177462
W21HR0756	3142.572165
W21HR0789	3143.463285
W21HR0821	2719.02243
W21HR0830	3379.227331
W21HR0835	3265.007671
W21HR0842	3123.844677
W21HR0845	2973.740512
W21HR1003	2889.448779
W21HR1005	3080.915824
W21HR1016	3165.562004
W21HR1018	3312.446436
Windbreaker	2873.726514
ZORRO - B04554	3037.054912
